"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"TOB1",NA,NA,NA,NA,"BCL6","TTYH3","RALGAPA2"
"ILF3",NA,NA,NA,NA,"PDK4","BMP2K","HES1"
"PXDC1",NA,NA,NA,NA,"ACTN1","ATP6V1B2","GFOD1"
"SNED1",NA,NA,NA,NA,"RSU1","ETV3","HYAL2"
"FAM193B",NA,NA,NA,NA,"FBXO32","PLEKHO2","SNCG"
"AMOTL2",NA,NA,NA,NA,"MT1M","SH3BP2","ENSG00000271043"
"UAP1",NA,NA,NA,NA,"SEPT9","MFSD2A","AQP1"
"PABPC4",NA,NA,NA,NA,"SELENOW","F3","LMNA"
"YPEL2",NA,NA,NA,NA,"ARID5B","TBC1D9","STARD9"
"KLF6",NA,NA,NA,NA,"ARHGAP29","TPP1","TGFBR2"
"PTPRS",NA,NA,NA,NA,"TGFB1I1","ATP6V0B","PTPRM"
"THOC6",NA,NA,NA,NA,"LDHB","SLC43A3","ITGA9"
"GPR153",NA,NA,NA,NA,"MCL1","PLEKHB2","PLK2"
"MAFK",NA,NA,NA,NA,"PLXDC1","ARC","AKR1C3"
"RBM39",NA,NA,NA,NA,"PPP1R10","ATP6V1F","NRP1"
"NISCH",NA,NA,NA,NA,"HEXIM1","AP1B1","IFI16"
"LTBP2",NA,NA,NA,NA,"ARHGAP17","GRB2","ZFP36L1"
"RARA",NA,NA,NA,NA,"HSPB6","SAMHD1","SRP14"
"TMEM259",NA,NA,NA,NA,"KIRREL1","COTL1","ITGA3"
"PPRC1",NA,NA,NA,NA,"SEMA4C","CAP1","RPS6KA2"
"CHRD",NA,NA,NA,NA,"UBA2","SLC16A10","ENSG00000128016"
"ZCCHC24",NA,NA,NA,NA,"ARID1A","SLC12A7","RASSF3"
"NCOR2",NA,NA,NA,NA,"SNRNP70","DBI","TNFRSF14"
"NFIC",NA,NA,NA,NA,"SORBS3","ARL8B","MALL"
"KDM3A",NA,NA,NA,NA,"HLA-C","PYCARD","TRIM25"
"EWSR1",NA,NA,NA,NA,"HLA-A","KANK1","RAB11A"
"PLXNA3",NA,NA,NA,NA,"ASXL1","LIPA","VASH1"
"SRRT",NA,NA,NA,NA,"KLF2","CD40","LDLR"
